0.07	0.0001106	0.15
0.0665	0.0007056	0.15
0.063	0.001267	0.15
0.056	0.0022953	0.15
0.049	0.003206	0.15
0.042	0.0039928	0.15
0.035	0.0046319	0.15
0.028	0.0050778	0.15
0.021	0.0052514	0.15
0.0175	0.0051989	0.15
0.014	0.0050204	0.15
0.0105	0.0046774	0.15
0.007	0.0040971	0.15
0.00525	0.003675	0.15
0.0035	0.0031101	0.15
0.00175	0.0022876	0.15
0.000875	0.0016569	0.15
0	0	0.15
0.000875	-0.0016569	0.15
0.00175	-0.0022876	0.15
0.0035	-0.0031101	0.15
0.00525	-0.003675	0.15
0.007	-0.0040971	0.15
0.0105	-0.0046774	0.15
0.014	-0.0050204	0.15
0.0175	-0.0051989	0.15
0.021	-0.0052514	0.15
0.028	-0.0050778	0.15
0.035	-0.0046319	0.15
0.042	-0.0039928	0.15
0.049	-0.003206	0.15
0.056	-0.0022953	0.15
0.063	-0.001267	0.15
0.0665	-0.0007056	0.15
0.07	-0.0001106	0.15
